                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.51662,                0.86442,                 1.0334,                0.80572,                0.57132,                0.68221,                0.53951,                0.73081,                 1.1997,                 1.1832,             0.00030276,             0.00030276,             0.00030276
                     52,                0.50727,                  0.855,                 1.0184,                0.77578,                0.49998,                0.63888,                0.50191,                0.78527,                 1.3993,                 1.2645,             0.00029694,             0.00029694,             0.00029694
                     53,                0.51203,                0.85013,                 1.0324,                 0.7809,                0.62379,                0.70708,                0.56746,                0.68369,                 1.1877,                 1.1418,             0.00029112,             0.00029112,             0.00029112
                     54,                  0.525,                0.83465,                 1.0259,                0.71798,                0.60064,                 0.6558,                0.51121,                0.76721,                 1.3053,                 1.2087,              0.0002853,              0.0002853,              0.0002853
                     55,                0.50434,                0.82594,                 1.0253,                0.73031,                0.64601,                0.70583,                0.55768,                0.72746,                 1.2597,                 1.1825,             0.00027948,             0.00027948,             0.00027948
                     56,                0.49905,                0.81149,                 1.0103,                0.72451,                0.56588,                 0.6481,                0.50904,                0.73069,                 1.3212,                 1.1819,             0.00027366,             0.00027366,             0.00027366
                     57,                0.50825,                0.80942,                 1.0294,                0.74765,                0.60088,                0.67326,                0.52799,                0.75394,                  1.322,                 1.2113,             0.00026783,             0.00026783,             0.00026783
                     58,                 0.5058,                0.82881,                 1.0246,                0.78913,                0.59531,                0.66973,                0.54094,                0.68303,                  1.218,                 1.1536,             0.00026201,             0.00026201,             0.00026201
                     59,                0.48699,                0.81206,                 1.0088,                0.80756,                0.55528,                0.65963,                0.50294,                0.70733,                 1.2933,                 1.1638,             0.00025619,             0.00025619,             0.00025619
                     60,                0.49014,                0.76714,                 1.0159,                0.63816,                0.62467,                0.66484,                0.54257,                0.68628,                 1.2478,                 1.1508,             0.00025037,             0.00025037,             0.00025037
                     61,                0.48344,                0.74663,                  1.004,                0.65889,                0.59102,                0.64214,                0.51172,                0.72352,                 1.3464,                 1.1998,             0.00024455,             0.00024455,             0.00024455
                     62,                0.48186,                0.76822,                 1.0109,                0.66086,                0.63813,                0.66402,                0.53381,                0.71828,                 1.3292,                 1.1852,             0.00023873,             0.00023873,             0.00023873
                     63,                0.49926,                0.81055,                 1.0206,                0.77841,                0.56297,                0.68736,                0.53707,                0.69508,                  1.226,                 1.1529,             0.00023291,             0.00023291,             0.00023291
                     64,                0.49392,                0.75907,                 1.0217,                  0.706,                0.66796,                0.69397,                0.56223,                0.69038,                 1.1906,                  1.145,             0.00022709,             0.00022709,             0.00022709
                     65,                0.48078,                0.75506,                 1.0154,                0.77945,                0.58485,                0.67835,                0.54647,                0.68251,                 1.3386,                 1.1219,             0.00022126,             0.00022126,             0.00022126
                     66,                 0.4713,                0.72232,                0.99298,                0.70095,                 0.6405,                0.70959,                0.56646,                0.72035,                 1.1492,                 1.1603,             0.00021544,             0.00021544,             0.00021544
                     67,                 0.4725,                0.71916,                 1.0072,                0.77267,                0.65462,                0.71903,                0.55864,                0.73437,                 1.1576,                 1.1821,             0.00020962,             0.00020962,             0.00020962
                     68,                0.46495,                0.72588,                0.99731,                0.77913,                0.59665,                0.70399,                 0.5562,                0.74833,                 1.2306,                  1.207,              0.0002038,              0.0002038,              0.0002038
                     69,                0.45868,                0.71104,                0.99872,                 0.8132,                0.55581,                0.68654,                0.54548,                 0.7293,                 1.2694,                 1.2026,             0.00019798,             0.00019798,             0.00019798
                     70,                0.45102,                0.70673,                0.98953,                0.82101,                0.57572,                0.68816,                0.56562,                0.65574,                  1.247,                 1.1145,             0.00019216,             0.00019216,             0.00019216
                     71,                0.46052,                0.68169,                0.99451,                0.71678,                0.59293,                0.68117,                0.56374,                  0.701,                 1.1595,                 1.1498,             0.00018634,             0.00018634,             0.00018634
                     72,                0.44162,                0.66572,                0.98926,                0.84057,                0.61143,                0.69658,                0.55424,                0.69077,                 1.1345,                 1.1411,             0.00018052,             0.00018052,             0.00018052
                     73,                0.45305,                  0.671,                0.98275,                  0.818,                0.58737,                0.68618,                0.54853,                0.68566,                 1.2145,                 1.1362,             0.00017469,             0.00017469,             0.00017469
                     74,                 0.4568,                0.68609,                0.98934,                0.70204,                 0.6531,                0.70355,                 0.5641,                0.72677,                 1.1776,                 1.1754,             0.00016887,             0.00016887,             0.00016887
                     75,                0.42899,                0.63997,                0.98157,                0.75881,                 0.6308,                0.72101,                0.57791,                0.66916,                 1.0861,                 1.1415,             0.00016305,             0.00016305,             0.00016305
                     76,                0.43796,                0.66062,                0.97444,                0.63362,                0.65031,                0.70546,                0.56529,                0.69269,                 1.1246,                 1.1625,             0.00015723,             0.00015723,             0.00015723
                     77,                0.44074,                0.67945,                0.98406,                0.85602,                0.62805,                0.72096,                0.58044,                0.67539,                 1.1527,                 1.1394,             0.00015141,             0.00015141,             0.00015141
                     78,                0.43077,                0.66214,                0.96759,                0.73104,                0.64918,                0.71058,                0.58271,                0.67298,                 1.1994,                 1.1317,             0.00014559,             0.00014559,             0.00014559
                     79,                0.44176,                0.68127,                0.98199,                0.67203,                0.64537,                0.70477,                0.57891,                0.68524,                 1.1646,                 1.1365,             0.00013977,             0.00013977,             0.00013977
                     80,                 0.4302,                0.62916,                0.97843,                 0.7797,                0.63029,                0.71314,                0.58717,                0.67535,                 1.1583,                 1.1449,             0.00013395,             0.00013395,             0.00013395
                     81,                0.42389,                0.62307,                0.98085,                0.76061,                0.67304,                0.73053,                0.60165,                 0.6705,                 1.1711,                 1.1277,             0.00012813,             0.00012813,             0.00012813
                     82,                0.42225,                0.62871,                0.97883,                0.85625,                0.59943,                0.71936,                0.58606,                0.67164,                   1.16,                 1.1404,              0.0001223,              0.0001223,              0.0001223
                     83,                0.41446,                0.60933,                0.96865,                0.75933,                0.67073,                0.71991,                  0.586,                0.68214,                 1.1035,                  1.148,             0.00011648,             0.00011648,             0.00011648
                     84,                0.43798,                0.63235,                0.97833,                0.71345,                0.65483,                0.71921,                0.59706,                0.67732,                 1.0729,                 1.1341,             0.00011066,             0.00011066,             0.00011066
                     85,                0.42875,                0.62827,                0.98044,                0.73063,                0.61793,                0.70228,                0.57295,                0.68008,                 1.1119,                   1.14,             0.00010484,             0.00010484,             0.00010484
                     86,                0.41062,                0.60765,                0.96187,                0.77572,                0.65474,                0.71947,                0.57896,                0.67107,                 1.1053,                 1.1399,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.40142,                0.58587,                0.96053,                0.80861,                0.62769,                0.71163,                0.58299,                0.67968,                 1.0684,                 1.1452,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                0.41259,                0.61361,                0.97475,                 0.7975,                0.64648,                0.72133,                 0.5871,                0.67045,                 1.0985,                 1.1291,             8.7377e-05,             8.7377e-05,             8.7377e-05
